"id","parent_id","name","description","source_id"
"4792","null","Energy","Imported by CPR loader","1"
"4793","null","Energy","Imported by CPR loader","1"
"4794","null","LULUCF","Imported by CPR loader","1"
"4795","null","Social development","Imported by CPR loader","1"
"4796","null","Transportation","Imported by CPR loader","1"
"4797","null","Urban","Imported by CPR loader","1"
"4798","null","Waste","Imported by CPR loader","1"
"4799","null","Energy","Imported by CPR loader","1"
"4800","null","Energy","Imported by CPR loader","1"
"4801","null","Coastal zones","Imported by CPR loader","1"
"4802","null","Environment","Imported by CPR loader","1"
"4803","null","LULUCF","Imported by CPR loader","1"
"4804","null","Industry","Imported by CPR loader","1"
"4805","null","Industry","Imported by CPR loader","1"
"4806","null","Residential and Commercial","Imported by CPR loader","1"
"4807","null","Energy","Imported by CPR loader","1"
"4808","null","Industry","Imported by CPR loader","1"
"4809","null","Transportation","Imported by CPR loader","1"
"4810","null","LULUCF","Imported by CPR loader","1"
"4811","null","Water","Imported by CPR loader","1"
"4812","null","Energy","Imported by CPR loader","1"
"4813","null","Energy","Imported by CPR loader","1"
"4814","null","Waste","Imported by CPR loader","1"
"4815","null","Water","Imported by CPR loader","1"
"4816","null","Agriculture","Imported by CPR loader","1"
"4817","null","Energy","Imported by CPR loader","1"
"4818","null","Industry","Imported by CPR loader","1"
"4819","null","Residential and Commercial","Imported by CPR loader","1"
"4820","null","Transportation","Imported by CPR loader","1"
"4821","null","Water","Imported by CPR loader","1"
"4822","null","Industry","Imported by CPR loader","1"
"4823","null","Water","Imported by CPR loader","1"
"4824","null","Energy","Imported by CPR loader","1"
"4825","null","Residential and Commercial","Imported by CPR loader","1"
"4826","null","Transportation","Imported by CPR loader","1"
"4827","null","Agriculture","Imported by CPR loader","1"
"4828","null","Energy","Imported by CPR loader","1"
"4829","null","Health","Imported by CPR loader","1"
"4830","null","Industry","Imported by CPR loader","1"
"4831","null","LULUCF","Imported by CPR loader","1"
"4832","null","Waste","Imported by CPR loader","1"
"4833","null","Residential and Commercial","Imported by CPR loader","1"
"4834","null","Energy","Imported by CPR loader","1"
"4835","null","Industry","Imported by CPR loader","1"
"4836","null","Residential and Commercial","Imported by CPR loader","1"
"4837","null","Transportation","Imported by CPR loader","1"
"4838","null","Water","Imported by CPR loader","1"
"4839","null","Energy","Imported by CPR loader","1"
"4840","null","Industry","Imported by CPR loader","1"
"4841","null","Energy","Imported by CPR loader","1"
"4842","null","Transportation","Imported by CPR loader","1"
"4843","null","Energy","Imported by CPR loader","1"
"4844","null","Residential and Commercial","Imported by CPR loader","1"
"4845","null","Transportation","Imported by CPR loader","1"
"4846","null","Energy","Imported by CPR loader","1"
"4847","null","Residential and Commercial","Imported by CPR loader","1"
"4848","null","Transportation","Imported by CPR loader","1"
"4849","null","Health","Imported by CPR loader","1"
"4850","null","Water","Imported by CPR loader","1"
"4851","null","Energy","Imported by CPR loader","1"
"4852","null","Energy","Imported by CPR loader","1"
"4853","null","Energy","Imported by CPR loader","1"
"4854","null","Energy","Imported by CPR loader","1"
"4855","null","Waste","Imported by CPR loader","1"
"4856","null","Energy","Imported by CPR loader","1"
"4857","null","Economy-wide","Imported by CPR loader","1"
"4858","null","LULUCF","Imported by CPR loader","1"
"4859","null","Agriculture","Imported by CPR loader","1"
"4860","null","Energy","Imported by CPR loader","1"
"4861","null","Transportation","Imported by CPR loader","1"
"4862","null","Energy","Imported by CPR loader","1"
"4863","null","Agriculture","Imported by CPR loader","1"
"4864","null","Energy","Imported by CPR loader","1"
"4865","null","LULUCF","Imported by CPR loader","1"
"4866","null","Social development","Imported by CPR loader","1"
"4867","null","Water","Imported by CPR loader","1"
"4868","null","Disaster Risk Management (Drm)","Imported by CPR loader","1"
"4869","null","Economy-wide","Imported by CPR loader","1"
"4870","null","Energy","Imported by CPR loader","1"
"4871","null","Transportation","Imported by CPR loader","1"
"4872","null","Energy","Imported by CPR loader","1"
"4873","null","Waste","Imported by CPR loader","1"
"4874","null","Water","Imported by CPR loader","1"
"4875","null","Energy","Imported by CPR loader","1"
"4876","null","Residential and Commercial","Imported by CPR loader","1"
"4877","null","Agriculture","Imported by CPR loader","1"
"4878","null","Energy","Imported by CPR loader","1"
"4879","null","Industry","Imported by CPR loader","1"
"4880","null","Residential and Commercial","Imported by CPR loader","1"
"4881","null","Transportation","Imported by CPR loader","1"
"4882","null","Waste","Imported by CPR loader","1"
"4883","null","Water","Imported by CPR loader","1"
"4884","null","Energy","Imported by CPR loader","1"
