Name,Iso,Geography type,World Bank Region,Federal,Federal details,Political groups,Percent global emissions,Climate risk index,Wb income group
Afghanistan,AFG,National,South Asia,FALSE,,LDC;G77,0.20%,41.83,Low income
Albania,ALB,National,Europe & Central Asia,FALSE,,,0.02%,114.17,Upper middle income
Algeria,DZA,National,Middle East & North Africa,FALSE,,G77;The Arab Group,0.44%,92.5,Upper middle income
Andorra,AND,National,Europe & Central Asia,FALSE,,,0.00%,,High income
Angola,AGO,National,Sub-Saharan Africa,FALSE,,LDC;G77,0.38%,97,Lower middle income
Antigua and Barbuda,ATG,National,Latin America & Caribbean,FALSE,,G77;SIDS;AOSIS,0.00%,58,High income
Argentina,ARG,National,Latin America & Caribbean,TRUE,"23 provinces, 1 autonomous city",G77;G20,1.01%,79.5,Upper middle income
Armenia,ARM,National,Europe & Central Asia,FALSE,,,0.02%,145.17,Upper middle income
Australia,AUS,National,East Asia & Pacific,TRUE,"6 states, 3 federal territories (of which 2 are self-governing) and 7 external territories",G20;OECD,1.09%,50.17,High income
Austria,AUT,National,Europe & Central Asia,TRUE,9 Bundesländer,OECD;EU,0.15%,55.67,High income
Azerbaijan,AZE,National,Europe & Central Asia,FALSE,,,0.16%,133.67,Upper middle income
"Bahamas, The",BHS,National,Latin America & Caribbean,FALSE,,G77;SIDS;AOSIS,0.01%,39.67,High income
Bahrain,BHR,National,Middle East & North Africa,FALSE,,G77;The Arab Group,0.10%,171.83,High income
Bangladesh,BGD,National,South Asia,FALSE,,LDC;G77,0.44%,30,Lower middle income
Barbados,BRB,National,Latin America & Caribbean,FALSE,,G77;SIDS;AOSIS,0.01%,141.67,High income
Belarus,BLR,National,Europe & Central Asia,FALSE,,,0.17%,142,Upper middle income
Belgium,BEL,National,Europe & Central Asia,TRUE,"3 communities, 3 regions",OECD;EU,0.23%,63.83,High income
Belize,BLZ,National,Latin America & Caribbean,FALSE,,G77;SIDS;AOSIS,0.01%,48.5,Upper middle income
Benin,BEN,National,Sub-Saharan Africa,FALSE,,LDC;G77,0.06%,141,Low income
Bhutan,BTN,National,South Asia,FALSE,,LDC;G77,0.00%,97,Lower middle income
Bolivia,BOL,National,Latin America & Caribbean,FALSE,,G77,0.32%,45.33,Lower middle income
Bosnia and Herzegovina,BIH,National,Europe & Central Asia,TRUE,"2 entities, one of which is sub-divided into 10 cantons",G77,0.06%,70.17,Upper middle income
Botswana,BWA,National,Sub-Saharan Africa,FALSE,,G77,0.15%,132.33,Upper middle income
Brazil,BRA,National,Latin America & Caribbean,TRUE,"26 states, 1 federal district",G77;G20,2.90%,83.17,Upper middle income
Brunei Darussalam,BRN,National,East Asia & Pacific,FALSE,,G77,0.04%,169.17,High income
Bulgaria,BGR,National,Europe & Central Asia,FALSE,,EU,0.09%,70.83,Upper middle income
Burkina Faso,BFA,National,Sub-Saharan Africa,FALSE,,LDC;G77,0.08%,99.33,Low income
Burundi,BDI,National,Sub-Saharan Africa,FALSE,,LDC;G77,0.02%,73.67,Low income
Cabo Verde,CPV,National,Sub-Saharan Africa,FALSE,,G77;SIDS;AOSIS,0.00%,143.5,Lower middle income
Cambodia,KHM,National,East Asia & Pacific,FALSE,,LDC;G77,0.14%,35.33,Lower middle income
Cameroon,CMR,National,Sub-Saharan Africa,FALSE,,G77,0.44%,133.83,Lower middle income
Canada,CAN,National,North America,TRUE,"10 provinces, 3 territiries",G20;OECD,1.64%,88.17,High income
Central African Republic,CAF,National,Sub-Saharan Africa,FALSE,,LDC;G77,0.16%,149.33,Low income
Chad,TCD,National,Sub-Saharan Africa,FALSE,,LDC;G77,0.21%,100.83,Low income
Chile,CHL,National,Latin America & Caribbean,FALSE,,G77;OECD,0.01%,87.83,High income
China,CHN,National,East Asia & Pacific,TRUE,"22 provinces, 5 autonomus regions",G77;G20,24.36%,55.5,Upper middle income
Colombia,COL,National,Latin America & Caribbean,FALSE,,G77,0.49%,55.67,Upper middle income
Comoros,COM,National,Sub-Saharan Africa,TRUE,3 islands,LDC;G77;The Arab Group;SIDS;AOSIS,0.00%,122.67,Lower middle income
Congo,COG,National,Sub-Saharan Africa,FALSE,,G77,0.10%,151.5,Lower middle income
Cook Islands,COK,National,East Asia & Pacific,FALSE,,SIDS;AOSIS;PSIDS,0.00%,,
Costa Rica,CRI,National,Latin America & Caribbean,FALSE,,G77,0.01%,88.17,Upper middle income
Croatia,HRV,National,Europe & Central Asia,FALSE,,EU,0.04%,48.33,High income
Cuba,CUB,National,Latin America & Caribbean,FALSE,,G77;SIDS;AOSIS,0.06%,,Upper middle income
Cyprus,CYP,National,Europe & Central Asia,FALSE,,EU,0.02%,129.67,High income
Czechia,CZE,National,Europe & Central Asia,FALSE,,OECD;EU,0.24%,79.67,High income
Côte d'Ivoire,CIV,National,Sub-Saharan Africa,FALSE,,G77,0.07%,142.67,Lower middle income
Democratic Republic of Congo,COD,National,Sub-Saharan Africa,FALSE,,LDC;G77,0.47%,125.83,Low income
Denmark,DNK,National,Europe & Central Asia,FALSE,,OECD;EU,0.10%,112.83,High income
Djibouti,DJI,National,Middle East & North Africa,FALSE,,LDC;G77;The Arab Group,0.00%,69.5,Lower middle income
Dominica,DMA,National,Latin America & Caribbean,FALSE,,G77;SIDS;AOSIS,0.00%,32.33,Upper middle income
Dominican Republic,DOM,National,Latin America & Caribbean,FALSE,,G77;SIDS;AOSIS,0.06%,58.5,Upper middle income
Ecuador,ECU,National,Latin America & Caribbean,FALSE,,G77,0.21%,92.83,Upper middle income
Egypt,EGY,National,Middle East & North Africa,FALSE,,G77;The Arab Group,0.65%,143.67,Lower middle income
El Salvador,SLV,National,Latin America & Caribbean,FALSE,,G77,0.03%,42.5,Lower middle income
Equatorial Guinea,GNQ,National,Sub-Saharan Africa,FALSE,,G77,0.05%,,Upper middle income
Eritrea,ERI,National,Sub-Saharan Africa,FALSE,,LDC;G77,0.02%,109.17,Low income
Estonia,EST,National,Europe & Central Asia,FALSE,,EU,0.04%,148.83,High income
Eswatini,SWZ,National,Sub-Saharan Africa,FALSE,,G77,%,,
Ethiopia,ETH,National,Sub-Saharan Africa,TRUE,"9 regions, 2 chartered cities",LDC;G77,0.40%,64.67,Low income
European Union,EUR,Supranational,Europe & Central Asia,TRUE,27 nation states,G20,8.01 % %,,High income
Fiji,FJI,National,East Asia & Pacific,FALSE,,G77;SIDS;AOSIS,0.00%,37.17,Upper middle income
Finland,FIN,National,Europe & Central Asia,FALSE,,OECD;EU,0.13%,155.67,High income
France,FRA,National,Europe & Central Asia,FALSE,,G20;OECD;EU,0.69%,38,High income
Gabon,GAB,National,Sub-Saharan Africa,FALSE,,G77,-0.18%,167.33,Upper middle income
Gambia,GMB,National,Sub-Saharan Africa,FALSE,,LDC;G77,0.01%,81,Low income
Georgia,GEO,National,Europe & Central Asia,FALSE,,,0.04%,94.17,Upper middle income
Germany,DEU,National,Europe & Central Asia,TRUE,16 Bundesländer,G20;OECD;EU,1.70%,38.67,High income
Ghana,GHA,National,Sub-Saharan Africa,FALSE,,G77,0.11%,102.5,Lower middle income
Greece,GRC,National,Europe & Central Asia,FALSE,,OECD;EU,0.18%,78.83,High income
Grenada,GRD,National,Latin America & Caribbean,FALSE,,G77;SIDS;AOSIS,0.00%,39.83,Upper middle income
Guatemala,GTM,National,Latin America & Caribbean,FALSE,,G77,0.09%,38.33,Upper middle income
