Document ID,Document name,Document URL,Case ID,Case name,Event ID,Event assigner,Language,Link working?,Link replaced?,Fixer,Link comment,To align with Sabin?
6008,Appellate decision,http://climatecasechart.com/wp-content/uploads/sites/16/non-us-case-documents/2012/20120313_2011-NSWLEC-221-2012-NSWLEC-40-Australia_decision.pdf,7000,"Hunter Environment Lobby Inc. v. Minister for Planning (New South Wales Court of Appeal, 2011)",10828,Marcus,,TRUE,,,,
6007,Initial decision,http://climatecasechart.com/wp-content/uploads/sites/16/non-us-case-documents/2011/20111124_2011-NSWLEC-221-2012-NSWLEC-40-Australia_decision.pdf,7000,"Hunter Environment Lobby Inc. v. Minister for Planning (New South Wales Court of Appeal, 2011)",10827,Marcus,,TRUE,,,,
2900,Decision,http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2007/20070615_2007-QCA-200-Australia_decision-1.pdf,7001,Charles & Howard Pty. Ltd. v. Redland Shire Council (Queensland Supreme Court 2007),No event ID,Marcus,,TRUE,,,,
2899,Decision,http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2010/20100901_2010-HCA-28_decision-1.pdf,7002,"Spencer v. Commonwealth (High Court of Australia, 2010); (Federal Court 2015)",No event ID,Marcus,,TRUE,,,,
3464,Judgment,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcmNMIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--4dd142c951a80d3c84550ae68a606f171c6d6b01/e,7003,"Peter Gray & Naomi Hodgson v. Macquarie Generation (Land and Environment Court of New South Wales, 2010)",No event ID,Marcus,,TRUE,,,,
3463,Decision,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcllMIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--1955c0100e2c4f61b67d475dfd8b4fc3fdb8fdf7/l,7005,"Able Lott Holdings Pty. Ltd. v. City of Fremantle (Western Australia State Administrative Tribunal, 2010)",No event ID,Marcus,,TRUE,,,,
2896,Decision,http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2009/20090219_-2009-NCWELC-17-Australia_decision.pdf,7006,"Aldous v. Greater Taree City Council and Another (Land and Environment Court of New South Wales, 2009)",No event ID,Marcus,,TRUE,,,,
2996,Decision,http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2006/20061127_2006-152-LGERA-258-Australia_decision.pdf,7007,"Anvil Hill Project Watch Association v. Minister for the Environment and Water Resources (Federal Court of Australia, 2008)",No event ID,Marcus,,TRUE,,,,
3462,Press release,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBclVMIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f2580daf9c69662472b544e46bb80dd6f2b68172/s,7008,Australian Competition & Consumer Commission v. De Longhi Australia Pty. Ltd. (2008),Error: cannot open doc,Marcus,,TRUE,,,,
2894,Opinion,http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2010/20100929_2010-FCA-1057_opinion-1.pdf,7009,"Australian Competition & Consumer Commission v. Global Green Plan Ltd. (Federal Court of Australia, 2010)",No event ID,Marcus,,TRUE,,,,
2995,Opinion,http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2008/20080918_2008-FCA-1428_opinion-1.pdf,7010,"Australian Competition & Consumer Commission v. GM Holden Ltd (Federal Court of Australia, 2008)",No event ID,Marcus,,TRUE,,,,
3461,Press release,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBclFMIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--782a4e4beeacbcadfef17e52bb6fa23ff0b0c1be/s,7011,Australian Competition & Consumer Commission v. Goodyear Tyres (2008),Error: cannot open doc,Marcus,,TRUE,,,,
3460,Press release,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBck1MIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--06f5696cd807811b612c0f6e233bdc1c72fef03b/d,7012,"Australian Competition & Consumer Commission v. Prime Carbon Pty. Ltd. (Federal Court of Australia, 2010)",Error: cannot open doc,Marcus,,TRUE,,,,
3459,Press release,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcklMIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--46221b4780a4c97ebdcc05da1bb880ea428c7d0d/s,7013,Australian Competition & Consumer Commission v. V8 Supercars Australia Pty. Ltd. (2008),Error: cannot open doc,Marcus,,TRUE,,,,
3458,Decision,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBckVMIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9bb1eeaec997452cb5a18b578d64c348d2c1818b/l,7014,"Bernhard Seifert v. Colac-Otway Shire Council (Victoria Civil and Administrative Court, 2009)",No event ID,Marcus,,TRUE,,,,
