name,desired_keyword
5 G,5G
Active Travel,Active Travel
Adaptation,Adaptation
Advertising,Advertising
Afforestation,Afforestation
Agriculture,Agriculture
air pollution,Air Pollution
Air Pollution,Air Pollution
Amazon Forest,Amazon Forest
Arctic,Arctic
Argentina,Argentina
Artificialisation,Artificialisation
Aviation,Aviation
Ban,Ban
Banking,Banking
Biodiversity,Biodiversity
Biofuels,Biofuels
Biogas,Biogas
Biomass,Biomass
Black Carbon,Black Carbon
Brt,BRT
Buildings,Buildings
Bus,Buses
Buses,Buses
Cap And Trade,Cap and Trade
Carbon Accounting,Carbon Accounting
Carbon Budget,Carbon Budget
Carbon Capture And Storage,Carbon Capture and Storage
Carbon Credits,Carbon Credits
Carbon Pricing,Carbon Pricing
carbon sink,Carbon Sink
Carbon Sink,Carbon Sink
Car Manufacturing,Car Manufacturing
Cbdr,CBDR
Cc Gap,CCGAP
Ccs,CCS
Cdm,CDM
Central Bank,Central Bank
Circular Economy,Circular Economy
Citizens' Assembly,Citizens' Assembly
Climate Change,Climate Change
Climate Change Risks,Climate Change Risks
Climate Emergency,Climate Emergency
Climate Finance,Climate Finance
Climate Fund,Climate Fund
climate justice,Climate Justice
Climate Justice,Climate Justice
Climate Neutrality,Climate Neutrality
Climate Protection,Climate Protection
climate security,Climate Security
clothing,Clothing
coal,Coal
Coal,Coal
Coal Mining,Coal Mining
Coal Phase Out,Coal Phase Out
Coastal Erosion,Coastal Erosion
Co Benefits,Co-benefits
Cogeneration,Co-generation
covid19,COVID-19
Covid 19,COVID-19
Covid-19,COVID-19
Covid19,COVID-19
Culture,Culture
Cycling,Cycling
Debt For Nature,Debt For Nature
Deforestation,Deforestation
Delta,Delta
Desertification,Desertification
Development,Development
Digital Transition,Digital Transition
Disaster Risk Management,Disaster Risk Management
Disclosure,Disclosure
Disease Prevention,Disease Prevention
Divestment,Divestment
Drr,DRR
E Buses,E-Buses
Education,Education
Electricity,Electricity
Electromobility,Electromobility
Energy,Energy
Energy Conservation,Energy Conservation
Energy Demand,Energy Demand
Energy Efficiency,Energy Efficiency
Energy storage,Energy Storage
Energy Storage,Energy Storage
Energy Supply,Energy Supply
Environmental Degradation,Environmental Degradation
Environmental Permit,Environmental Permit
Equity,Equity
Ets,ETS
European Green Deal,European Green Deal
Ev,EVs
EV,EVs
E Vs,EVs
Finance,Finance
Fisheries,Fisheries
Fit,FIT
Flaring,Flaring
Food,Food
Food Security,Food Security
food waste,Food Waste
Food Waste,Food Waste
Forest,Forests
Forests,Forests
Fossil Fuel Phase Out,Fossil Fuel Phase Out
Fossil Fuels,Fossil Fuels
fossil fuels curbing measures,Fossil Fuels Curbing Measures
