Event ID,Event name,Event type,Case ID,Event date,Event description,Event author,Court/body
10828,Appellate decision,Decision,7000,13/03/2012,,,
10827,Initial decision,Decision,7000,24/11/2011,Granted in part,,
7771,Case filed,Filing,7000,01/11/2011,,,
7770,Case opened,Filing,7001,25/12/2008,,,
7769,Case opened,Filing,7002,25/12/2010,,,
7768,Case opened,Filing,7003,25/12/2010,,,
7767,Case opened,Filing,7005,25/12/2010,,,
7765,Case opened,Filing,7006,25/12/2009,,,
7766,Case opened,Filing,7007,25/12/2008,,,
7764,Case opened,Filing,7008,25/12/2008,,,
7763,Case opened,Filing,7009,25/12/2010,,,
7762,Case opened,Filing,7010,25/12/2008,,,
7761,Case opened,Filing,7011,25/12/2008,,,
7759,Case opened,Filing,7012,25/12/2010,,,
7760,Case opened,Filing,7013,25/12/2008,,,
7758,Case opened,Filing,7014,25/12/2009,,,
7757,Case opened,Filing,7015,25/12/2008,,,
7756,Case opened,Filing,7016,25/12/2010,,,
7755,Decision,Decision,7017,25/12/2013,,,
7753,Case opened,Filing,7018,25/12/2009,,,
7754,Case opened,Filing,7020,25/12/2010,,,
7752,Case opened,Filing,7021,25/12/2011,,,
7751,Case opened,Filing,7022,25/12/2013,,,
7750,Case opened,Filing,7023,25/12/2012,,,
7749,Case opened,Filing,7024,25/12/2008,,,
7747,Case opened,Filing,7025,25/12/2008,,,
7748,Case opened,Filing,7026,25/12/2007,,,
7746,Case opened,Filing,7027,25/12/2012,,,
7745,Case opened,Filing,7028,25/12/2010,,,
7744,Case opened,Filing,7029,25/12/2013,,,
7743,Case opened,Filing,7030,25/12/2008,,,
10499,Decision,Decision,7031,26/11/2006,,,
7742,Case opened,Filing,7031,01/01/2006,,,
7740,Case opened,Filing,7032,25/12/1994,,,
7741,Case opened,Filing,7033,25/12/2008,,,
7739,Case opened,Filing,7034,25/12/2011,,,
7738,Case opened,Filing,7035,25/12/2012,,,
7737,Case opened,Filing,7036,25/12/2011,,,
7736,Case opened,Filing,7037,25/12/2012,,,
7735,Case opened,Filing,7038,25/12/2011,,,
7734,Case opened,Filing,7039,25/12/2010,,,
7733,Case opened,Filing,7040,25/12/2011,,,
7732,Case opened,Filing,7041,25/12/2007,,,
7731,Case opened,Filing,7042,25/12/2008,,,
7730,Case opened,Filing,7044,25/12/2009,,,
7729,Case opened,Filing,7045,25/12/2013,,,
7728,Case opened,Filing,7046,25/12/2008,,,
7727,Case opened,Filing,7047,25/12/2013,,,
7726,Case opened,Filing,7048,25/12/2009,,,
7725,Case opened,Filing,7049,25/12/2010,,,
7724,Case opened,Filing,7050,25/12/2007,,,
7723,Case opened,Filing,7051,25/12/2007,,,
7722,Case opened,Filing,7052,25/12/2005,,,
7721,Case opened,Filing,7053,25/12/2004,,,
7720,Case opened,Filing,7054,25/12/2007,,,
7719,Case opened,Filing,7055,25/12/2013,,,
7718,Case opened,Filing,7056,25/12/2004,,,
7717,Case opened,Filing,7057,25/12/2008,,,
7716,Case opened,Filing,7058,25/12/2009,,,
7715,Case opened,Filing,7059,25/12/2009,,,
7713,Case opened,Filing,7060,25/12/2009,,,
7714,Case opened,Filing,7062,25/12/2013,,,
7712,Case opened,Filing,7063,25/12/2010,,,
7711,Case opened,Filing,7064,25/12/2010,,,
7710,Case opened,Filing,7065,25/12/2007,,,
7709,Case opened,Filing,7066,25/12/2009,,,
7708,Case opened,Filing,7067,25/12/2005,,,
7707,Case opened,Filing,7068,25/12/2006,,,
7706,Case opened,Filing,7069,25/12/2009,,,
7705,Case opened,Filing,7070,25/12/2009,,,
7704,Case opened,Filing,7071,25/12/2010,,,
7703,Case opened,Filing,7072,25/12/2006,,,
7702,Case opened,Filing,7073,25/12/2012,,,
7701,Case opened,Filing,7074,25/12/2008,,,
7700,Case opened,Filing,7075,25/12/2010,,,
7699,Case opened,Filing,7076,25/12/2010,,,
9234,Claim admissible,Decision,7077,17/06/2021,,,
7698,Case opened,Filing,7077,25/12/2015,,,
7697,Case opened,Filing,7078,25/12/2014,,,
7696,Case opened,Filing,7080,25/12/2007,,,
7695,Case opened,Filing,7081,25/12/2008,,,
7694,Case opened,Filing,7082,25/12/2013,,,
7693,Case opened,Filing,7083,25/12/2013,,,
7692,Case opened,Filing,7084,25/12/2008,,,
7691,Case opened,Filing,7085,25/12/2012,,,
7690,Case opened,Filing,7086,25/12/2011,,,
7689,Case opened,Filing,7087,25/12/2016,,,
7688,Case opened,Filing,7088,25/12/2010,,,
7687,Case opened,Filing,7089,25/12/2015,,,
10275,Case filed,Filing,7090,13/07/2015,,,
7686,Case decided,Decision,7090,08/02/2016,,,
7685,Case opened,Filing,7091,25/12/2009,,,
7684,Case opened,Filing,7092,25/12/2015,,,
7683,Case opened,Filing,7093,25/12/2010,,,
7682,Case opened,Filing,7095,25/12/2007,,,
7681,Case opened,Filing,7096,25/12/2010,,,
7680,Case opened,Filing,7097,25/12/2013,,,
7679,Case opened,Filing,7098,25/12/2011,,,
7678,Case opened,Filing,7099,25/12/2014,,,
7677,Case opened,Filing,7100,25/12/2010,,,
7676,Case opened,Filing,7101,25/12/2011,,,
7675,Case opened,Filing,7102,25/12/2013,,,
7674,Case opened,Filing,7103,25/12/2016,,,
7673,Case opened,Filing,7104,25/12/2008,,,
8796,Judgment issued,Other,7105,29/04/2015,,,
7672,Case referred,Filing,7105,20/02/2014,,,
7671,Case opened,Filing,7106,25/12/2008,,,
7670,Case opened,Filing,7107,25/12/2008,,,
7668,Case opened,Filing,7108,25/12/2008,,,
7669,Case opened,Filing,7109,25/12/2008,,,
7666,Case opened,Filing,7110,25/12/2006,,,
7667,Case opened,Filing,7111,25/12/2006,,,
7665,Case opened,Filing,7112,25/12/2007,,,
7664,Case opened,Filing,7113,25/12/2008,,,
7662,Case opened,Filing,7114,25/12/2007,,,
7663,Case opened,Filing,7115,25/12/2014,,,
7661,Case opened,Filing,7116,25/12/2013,,,
7660,Case opened,Filing,7117,25/12/2007,,,
7659,Appeal unsuccessful,Decision,7118,11/09/2007,The Court dismissed the case.,,
7658,Case opened,Filing,7118,24/03/2007,Applicants sought to annul Commission decision rejecting part of the German Phase II national allocation plan (NAP).,,
7657,Case decided,Settlement,7119,14/02/2012,the court upheld the Ministry's decision to deny access to the documents requested.,,
