"Id","Name","External url","Language","Last verified on","Documentable id","Documentable type"
"4527","Link to translation","https://www.lawinfochina.com/display.aspx?id=7025&lib=law","English","23/05/2021","10088","Legislation"
"4526","Link to unofficial translation by CSET","","English","N/A","10087","Legislation"
"4525","Link to full text","http://www.gov.cn/xinwen/2021-03/13/content_5592681.htm","Chinese","23/05/2021","10087","Legislation"
"4524","Official presentation of long-term scenarios","","English","N/A","2076","Legislation"
"4523","Link to full text (PDF)","http://extwprlegs1.fao.org/docs/pdf/sur148216.pdf","English","16/05/2021","10046","Legislation"
"4522","Link to full text (PDF)","https://redd.unfccc.int/files/national_redd__strategy_of_suriname_en_web.pdf","English","16/05/2021","10044","Legislation"
"4521","Full text (part I) - PDF","","English","N/A","10042","Legislation"
"4520","Link to official website for updated enforced version","https://www.fedlex.admin.ch/eli/cc/2017/762/fr","French","16/05/2021","1693","Legislation"
"4519","Full document (PDF)","","English","N/A","10049","Legislation"
"4518","Link to official website","https://www.bfe.admin.ch/bfe/en/home/policy/energy-strategy-2050.html","English","16/05/2021","10049","Legislation"
"4517","Link to full text (PDF)","https://www.newsd.admin.ch/newsd/message/attachments/65879.pdf","English","16/05/2021","10051","Legislation"
"4516","Full text (PDF)","","English","N/A","10052","Legislation"
"4515","Link to official website","http://www.npa.go.ug/about-npa/uganda-green-growth-development-strategy/","English","16/05/2021","10061","Legislation"
"4514","Link to full text (PDF)","https://www1.undp.org/content/dam/LECB/docs/pubs-reports/undp-ndc-sp-uganda-ggds-green-growth-dev-strategy-20171204.pdf.","English","16/05/2021","10061","Legislation"
"4513","full text (PDF)","","English","N/A","10086","Legislation"
"4512","Link to full text (PDF)","https://minzp.sk/files/oblasti/politika-zmeny-klimy/ets/lts-sk-eng.pdf","English","15/05/2021","10029","Legislation"
"4511","Link to full text (PDF)","https://www.sec.gouv.sn/sites/default/files/Plan%20Senegal%20Emergent_0.pdf","French","15/05/2021","10024","Legislation"
"4510","Full text (PDF)","","English","N/A","10085","Legislation"
"4509","Full text of the strategy","https://www.un-page.org/files/public/kyrgyz_national_sustainable_development_strategy.pdf","English","15/05/2021","10007","Legislation"
"4508","Full text of approving decree","http://cbd.minjust.gov.kg/act/view/ru-ru/53066?cl=ru-ru","Russian","15/05/2021","10007","Legislation"
"4507","Full text of the plan","https://monitoring.edu.kg/wp-content/uploads/2013/09/sd_program_en.pdf","English","15/05/2021","10007","Legislation"
"4506","Full text on official website","http://cbd.minjust.gov.kg/act/view/ru-ru/53067","Russian","15/05/2021","10007","Legislation"
"4505","Link to December 2019 framework paper","https://budget.go.ug/sites/default/files/National%20Budget%20docs/National%20Budget%20Framework%20Paper%20FY%202020-21_0.pdf","English","15/05/2021","10060","Legislation"
"4504","Link to finance minister's speech","https://www.finance.go.ug/sites/default/files/Publications/FY%202020-21%20Budget%20Speech_Final.pdf","English","15/05/2021","10060","Legislation"
"4503","Link to full text (PDF)","http://reg3.diw.go.th/policy/wp-content/uploads/2016/04/National_Industrial_Development_Master_Plan.pdf","Thai","15/05/2021","10055","Legislation"
"4502","Link to unofficial translation (PDF)","http://nscr.nesdb.go.th/wp-content/uploads/2019/10/National-Strategy-Eng-Final-25-OCT-2019.pdf","English","15/05/2021","10056","Legislation"
"4501","full text (PDF)","","English","N/A","10059","Legislation"
"4498","Link to text","https://www.ecologie.gouv.fr/sites/default/files/Dossier%20de%20presse%20-%20Plan%20v%C3%A9lo%20-%20vendredi%2014%20septembre%202018.pdf","French","07/05/2021","9992","Legislation"
"4497","Full text (pdf)","","English","N/A","10006","Legislation"
"4496","Link to official dedicated platform","http://vision2030.go.ke/","English","07/05/2021","10005","Legislation"
"4495","Link to full text","https://www4.unfccc.int/sites/NAPC/Documents%20NAP/Kenya_NAP_Final.pdf","English","07/05/2021","10002","Legislation"
"4494","Scheme's guidelines","https://www.seai.ie/grants/national-home-retrofit/National-Home-Retrofit-Scheme-Guidelines.pdf","English","07/05/2021","10000","Legislation"
"4493","full text (pdf)","","English","N/A","9999","Legislation"
"4492","Link to 2020 version","https://www.government.is/library/01-Ministries/Ministry-for-The-Environment/201004%20Umhverfisraduneytid%20Adgerdaaaetlun%20EN%20V2.pdf","English","07/05/2021","9416","Legislation"
"4491","Full english translation ","https://circulareconomy.europa.eu/platform/sites/default/files/national_circular_economy_strategy.pdf","English","07/05/2021","9994","Legislation"
"4490","Link to official webpage","https://kinoumeilektrika.gov.gr/","Modern Greek (1453-)","07/05/2021","9993","Legislation"
"4489","full text (pdf)","","English","N/A","9991","Legislation"
"4488","Full text (PDF)","","English","N/A","9990","Legislation"
"4487","Link to translated summary","","English","N/A","9985","Legislation"
"4486","full text","https://redd.unfccc.int/files/20180813_national_redd__strategy_cambodia.pdf","English","07/05/2021","9964","Legislation"
"4485","full text (pdf)","","English","N/A","9963","Legislation"
"4484","Full text (PDF)","","English","N/A","10084","Legislation"
"4483","Link to official webpage","https://www.canada.ca/en/office-infrastructure/news/2020/07/new-green-municipal-fund-tool-drives-energy-efficiency.html","English","07/05/2021","10083","Legislation"
"4482","Full text document","","English","N/A","10023","Legislation"
"4481","Link to official document","https://www.canada.ca/en/treasury-board-secretariat/services/innovation/greening-government/strategy.html","English","07/05/2021","9966","Legislation"
"4480","Link to official website","https://www.canada.ca/en/department-finance/economic-response-plan.html?utm_campaign=not-applicable&utm_medium=vanity-url&utm_source=canada-ca_economic-response-plan","English","07/05/2021","10082","Legislation"
"4479","Full text document","https://www.nirda.gov.rw/uploads/tx_dce/National_Strategy_For_Trsansformation_-NST1-min.pdf","English","07/05/2021","10021","Legislation"
"4478","Link to official website","https://www.nrcan.gc.ca/science-and-data/funding-partnerships/funding-opportunities/current-funding-opportunities/emissions-reduction-fund/22781","English","07/05/2021","9967","Legislation"
"4477","Full text","https://mma.gob.cl/wp-content/uploads/2015/02/Plan_Adaptacion_CC_Biodiversidad_2.pdf","Spanish","07/05/2021","9968","Legislation"
"4476","Full text","https://www.conaf.cl/wp-content/files_mf/1368741650LibroLey_Bosque_NativoReglamentos.pdf","Spanish","07/05/2021","9969","Legislation"
"4475","link to official website","https://compromisoporcolombia.gov.co/","Spanish","07/05/2021","9971","Legislation"
"4474","Full text English","https://ec.europa.eu/energy/sites/default/files/documents/ltrsenromania.pdf","English","07/05/2021","10017","Legislation"
"4473","Link to full text","https://www.minambiente.gov.co/images/Estrategia_Integral_de_control_a_la_Deforestacion_y_Gestion_de_los_Bosques.pdf","Spanish","07/05/2021","9976","Legislation"
"4472","Dedicated official website","https://e2050colombia.com/","","07/05/2021","9977","Legislation"
"4471","Official presentation of the strategy","https://cambioclimatico.mma.gob.cl/wp-content/uploads/2020/05/20200518_Estrategia-Clim%C3%A1tica-Largo-Plazo-2050_COLOMBIA.pdf","Spanish","07/05/2021","9977","Legislation"
"4470","Full text English","https://wedocs.unep.org/bitstream/handle/20.500.11822/9507/-Environmental_Strategy_for_the_years_2014-2023-2014Moldova_EnvironmentalStrategy_2014-202.pdf?sequence=3&isAllowed=y","English","07/05/2021","10014","Legislation"
"4469","Link to webpage on official website","https://www.mep.gob.cu/es/pndesods/programa-nacional-de-desarrollo-economico-y-social-2030","Spanish","07/05/2021","9978","Legislation"
"4468","Full text decision and plan","https://gov.md/sites/default/files/document/attachments/pag_2020-2023.eng__0.pdf","English","07/05/2021","10012","Legislation"
"4467","full text (PDF)","","Spanish","N/A","9979","Legislation"
"4466","Unofficial partial English translation","https://cis-legislation.com/document.fwx?rgn=109152#A5A60QCKLG","English","07/05/2021","10015","Legislation"
"4465","Unofficial draft - English translation","https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwjJkJeW1rfwAhWrRRUIHeUVDPwQFjAAegQIAhAD&url=https%3A%2F%2Fwww.energy-community.org%2Fdam%2Fjcr%3Aa282e2ac-b8d4-46b9-8784-1c680f6abc0c%2FMC2017_Annex18g.pdf&usg=AOvVaw0zZzDGi-xTkLM1Ncht78Zl","English","07/05/2021","10016","Legislation"
"4464","Full text Romanian","http://lex.justice.md/md/363886/","Romanian","07/05/2021","10016","Legislation"
"4463","full text PDF","","Central Khmer","N/A","9961","Legislation"
"4462","full text PDF","","English","N/A","9961","Legislation"
"4461","Full text decision","http://clima.md/download.php?file=cHVibGljL3B1YmxpY2F0aW9ucy8zNzQxMjM3X2VuX2NjYXNfZW5nXzIwMTQucGRm","English","07/05/2021","9884","Legislation"
"4460","Full text","http://extwprlegs1.fao.org/docs/pdf/mol191490.pdf","Romanian","07/05/2021","10013","Legislation"
"4459","Full text Spanish","https://busquedas.elperuano.pe/normaslegales/decreto-supremo-que-crea-el-programa-nacional-de-transporte-decreto-supremo-n-027-2019-mtc-1792885-4/","Spanish","07/05/2021","9880","Legislation"
"4458","Full text Spanish","https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwj_n_v8yZ7wAhXWQkEAHcUoBxYQFjAAegQIAxAD&url=http%3A%2F%2Fwww.undp.org%2Fcontent%2Fdam%2Fpanama%2Fdocs%2FDocumentos_2017%2FPlan-Panama2030.pdf&usg=AOvVaw0PUTwtOX9ku-w7wuR50EmN","Spanish","07/05/2021","9879","Legislation"
"4457","Full text Spanish","https://www.preventionweb.net/files/74919_politicanacionaldegestionderiesgoap.pdf","Spanish","07/05/2021","9878","Legislation"
"4456","Full text document","","Spanish","N/A","9877","Legislation"
"4455","Full Text Spanish","https://www.gacetaoficial.gob.pa/pdfTemp/29045_A/GacetaNo_29045a_20200611.pdf","Spanish","07/05/2021","9876","Legislation"
"4454","Full Text Spanish","https://www.gacetaoficial.gob.pa/pdfTemp/29138_C/GacetaNo_29138c_20201020.pdf","Spanish","07/05/2021","9875","Legislation"
"4453","Draft Policy","http://www.engineeringpakistan.com/wp-content/uploads/2020/08/EV-New-Tech-Policy-060420.pdf","","07/05/2021","9874","Legislation"
"4452","Full text document ","http://mofe.gov.np/downloadfile/climatechange_policy_english_1580984322.pdf","English","07/05/2021","9872","Legislation"
"4451","Full text English","https://myanmar.un.org/sites/default/files/2019-11/MyanmarClimateChangeStrategy_2019.pdf","English","07/05/2021","9871","Legislation"
"4450","Full Text English","https://www.ecd.gov.mm/wp-content/uploads/2020/05/NEP.pdf","English","07/05/2021","9870","Legislation"
"4449","Full text English","https://rise.esmap.org/data/files/library/mongolia/Energy_Conserv_Law_2015.07.08_ENGLISH.pdf","","07/05/2021","9869","Legislation"
"4448","Full text Mongolian","https://policy.asiapacificenergy.org/sites/default/files/National%20Energy%20Conservation%20Program%20%28MN%29.pdf","Mongolian","07/05/2021","9868","Legislation"
"4447","Full Text English","https://rise.esmap.org/data/files/library/mongolia/Energy%20Policy%20document_english.pdf","English","07/05/2021","9866","Legislation"
"4446","Full Text Mongolian","https://policy.asiapacificenergy.org/sites/default/files/State%20Policy%20on%20Energy%202015-2030%20%28MN%29.pdf","Mongolian","07/05/2021","9866","Legislation"
"4445","full text","http://cnv.org.kh/wp-content/uploads/2012/10/Rectangular-Strategy-Phase-IV-of-the-Royal-Government-of-Cambodia-of-the-Sixth-Legislature-of-the-National-Assembly-2018-2023.pdf","","07/05/2021","9865","Legislation"
"4444","full text","https://www.moew.government.bg/en/climate/international-negotiations-and-adaptation/adaptation/","","07/05/2021","9864","Legislation"
"4443","Dedicated webpage on official website 2","http://www.climatechange.gov.bn/SitePages/Pages/Home.aspx","","07/05/2021","9863","Legislation"
"4442","Dedicated webpage on official website 1","http://climatechange.gov.bn/Theme/Index.aspx","","07/05/2021","9863","Legislation"
"4441","full text 2","https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/Documents/PDE%202029.pdf","Portuguese","07/05/2021","9862","Legislation"
