"Id","Title","Link","Legislation type","Description","Parent","Parent Id","Geography","Geography iso","Sectors","Frameworks","Responses","Keywords","Natural hazards","Document types","Instruments","Governances","Litigation ids","Visibility status"
"10413","Law on the protection of windbreaks in agricultural fields","https://climate-laws.org/geographies/georgia/laws/law-on-the-protection-of-windbreaks-in-agricultural-fields","legislative","<div>This law sets the legal framework on windbreaks, their status, restoring, development, use and management. Windbreaks are a type of hedgerow made of tress or shrubs and that protect farmed fields, notably from wind. Harm to windbreaks is currently a prominent cause of decreasing crop yields in the country. The law does not mention climate change but the protection of windbreaks generates adaptation and mitigation responses.&nbsp;<br><br>The law also sets rules on agencies and private parties that are authorised to deal with windbreaks and introduces financing schemes.</div>","","","Georgia","GEO","LULUCF;Agriculture","","Adaptation;Mitigation","","","Law"," Ecosystem restoration and nature based solutions|Direct investment","","","published"
"10414","National Development Strategy 2020-2030 for structural transformation and inclusive development","https://climate-laws.org/geographies/cameroon/policies/national-development-strategy-2020-2030-for-structural-transformation-and-inclusive-development","executive","<div>This document sets the country's development vision to 2030. The document notably sets a number of adaptation measures to be followed. The overall objectives pursued by SND30 are: 1) to establish favorable conditions for economic growth and the accumulation of national wealth and to ensure that the structural changes essential for the industrialisation of the country are obtained; 2) improve the living conditions of the populations and their access to basic social services by ensuring a significant reduction in poverty and underemployment; 3) strengthen climate change adaptation and mitigation measures and environmental management to ensure sustainable and inclusive economic growth and social development; and 4) improve governance to strengthen the performance of public action with a view to achieving development objectives.</div>","","","Cameroon","CMR","Economy-wide","","Adaptation;Mitigation","carbon sink","","Strategy"," Developing plans and strategies|Governance and planning; Ecosystem restoration and nature based solutions|Direct investment","","","published"
"10433","Action Plan for the implementation of the National Framework for Climate Services in Chad (CNSC, 2016-2020)","https://climate-laws.org/geographies/chad/policies/action-plan-for-the-implementation-of-the-national-framework-for-climate-services-in-chad-cnsc-2016-2020","executive","<div>This document provides the results of an assessment of the needs and capacities for climate services in the country. It focuses on agriculture and food security, water resources, health, management of natural risks and disasters, energy and transport have been targeted for optimal results.<br><br>Four essential levers of action are identified in the plan: 1) the production of climate information/services adapted to the needs of partners and end users 2) the dissemination and access to data, meteorological information and climate services by partners and end users, 3) capacity building of users for the optimal use of meteorological information, climatological products and services, and 4) determination of a sustainable financing mechanism for the activities of the National Meteorology for the promotion and enhancement of climatological information and services.&nbsp;This plan is accompanied by a CNSC performance monitoring and evaluation system and a budget for its implementation in the short term, estimated at 6,146,700 US Dollars.</div>","","","Chad","TCD","Transport;Health;Energy;Economy-wide;Agriculture","","Disaster Risk Management","Food Security","","Action Plan"," Monitoring, Reporting, Verification|Governance and planning; Provision of climate finance|Direct investment; Knowledge sharing and dissemination|Capacity-building; Knowledge generation|Capacity-building;  Capacity-building - general|Capacity-building","","","published"
"10418","National strategy to combat climate change in Chad","https://climate-laws.org/geographies/chad/policies/national-strategy-to-combat-climate-change-in-chad","executive","<div>This document&nbsp;aims at &nbsp;the sustainably integrating climate change adaptation and mitigation issues into national development policies, and effectively coordinate the convergence of climate initiatives in the country. It sets five goals: 1)&nbsp;strengthen the resilience of agro-sylvo-pastoral production systems; 2) promote climate change mitigation actions; 3) Preventing risks and managing extreme climatic phenomena; 4) build the institutional, technical, scientific and decision-making capacities of institutions and actors in the fight against climate change; and 5) strengthen instruments and capacities for mobilising climate-related financing.<br><br>According to Chad's environment minister, this orientation and planning document will have an operational mechanism for monitoring and evaluating the progress that Chad will make in terms of strengthening the climate resilience of key development sectors.&nbsp;The financing of these priority actions will be through the national budget, the mobilisation of climate funds, access to innovative financing via public-private partnership.</div>","","","Chad","TCD","Economy-wide","","Adaptation;Disaster Risk Management;Mitigation","Agriculture;Forest;Climate Finance","","Strategy","International cooperation|Governance and planning; Developing plans and strategies|Governance and planning; Ecosystem restoration and nature based solutions|Direct investment;  Capacity-building - general|Capacity-building","","","published"
"1513","Climate Change Response (Zero Carbon) Amendment Act (amending the Climate Change Response Act 2002)","https://climate-laws.org/geographies/new-zealand/laws/climate-change-response-zero-carbon-amendment-act-amending-the-climate-change-response-act-2002","legislative","<div>The Climate Change Response Act 2002 established an institutional and legal framework for New Zealand to ratify and meet its obligations and the Kyoto Protocol and the United Nations Framework Convention on Climate Change. To this end, the Act authorised the Minister of Finance to manage New Zealand’s holdings of units for GHG emissions under the Kyoto Protocol and to trade them on international carbon markets. Furthermore, the Act designated a national inventory agency. The Agency is charged with recording and reporting information relating to GHG emissions in accordance with New Zealand’s international requirements. <br><br>The Act has been amended numerous times, including by the<strong> Climate Change Response (Zero Carbon) Amendment Act</strong> in November 2019. The Zero Carbon Amendment Act sets a target to reduce net carbon emissions to zero by 2050. It also sets targets for biogenic methane emissions (from agriculture and waste) - 10% by 2030 (compared with 2017 levels), and 24%-47% reduction by 2050 (compared with 2017 levels). 5 year rolling carbon budgets are set, and obligations set to monitor meeting of those budgets. By 2024, a review will be carried out with regards to inclusion of emissions from international shipping and aviation in the 2050 target. The amendment mandates carrying out a periodic national climate risk assessment, and sets obligations on government to follow every assessment with a national adaptation plan. The amendment establishes a Climate Change Commission which serves an an independent advisory board to government. The Commission's role is to provide independent, expert advice to the Government mitigation and adaptation, and to monitor and review the Government’s progress towards its emissions reduction and adaptation goals. The Zero Carbon amendment sets consulting obligations with Māori and iwi leadership bodies under the obligations of the Treaty of Waitangi on multiple aspects of the law. <br><br>Other notable amendments: On June 22nd, 2020, the <a href=""https://www.parliament.nz/en/pb/bills-and-laws/bills-proposed-laws/document/BILL_92847/climate-change-response-emissions-trading-reform-amendment"">Emissions Trading Reform Amendment Act</a> was passed to amend the 2002 Act. This amendment reforms the existing trading scheme created by the 2008 Amendment to the Act. The Amendment aims at improving certainty for businesses, making the Emissions Trading Scheme more accessible, and improving its administration. It also allows for the phase down of industrial allocation from 2021 with greater reductions from 2030.<br><br>The Climate Change Response (Unit Restriction) Amendment Act 2014 ensures that only domestic emission units within the NZ ETS can be surrendered by participants when deregistering post-1989 forest land from the NZ ETS. The intent is to remove the opportunity to arbitrage units by registering and deregistering the same piece of post-1989 forest land from the NZ ETS multiple times.&nbsp;<br><br>The Climate Change Response (Unit Restriction) Amendment Act 2014 ensures that only domestic emission units within the NZ ETS can be surrendered by participants when deregistering post-1989 forest land from the NZ ETS. The intent is to remove the opportunity to arbitrage units by registering and deregistering the same piece of post-1989 forest land from the NZ ETS multiple times.<br>&nbsp;<br> The Climate Change Response (Emissions Trading and Other Matters) Amendment Act 2012 maintains the costs that the NZ ETS places on the economy at current levels. Essentially, the 2012 amendments prolong the transitional measures introduced in 2009: non-forestry obligations remain at one emission unit for two tonnes of actual emissions, there is no phase-out of free allocations, and the unit price is capped at NZD 25 (USD 19.65). The most significant change however is that agriculture will not have to surrender obligations from 2015.<br>&nbsp;<br> The Climate Change Response Amendment Act 2011 made several changes to the administrative functions of the Climate Change Response Act 2002, such as the functions of the chief executive of the Environmental Protection Authority, the appointment of enforcement officers, and the obligation to maintain confidentiality.<br>&nbsp;<br> The Climate Change Response (Moderated Emissions Trading) Amendment Act 2009 made several important changes aimed at modifying New Zealand's emissions trading scheme, including delaying the participation of the agriculture sector in the NZ ETS until 1 January 2015, and that additional allocations of emission certificates will be given to the agriculture sector on an intensity basis. They will be phased out at 1.3 percent rate starting from 2016. The Act also stated that additional allocations of emission certificates will be given to emissions-intensive, trade-exposed industries.<br>&nbsp;<br> The Climate Change Response (Emissions Trading Forestry Sector) Amendment Act 2009 made technical amendments to the forestry sector's participation in the NZ ETS, specifically, giving the Minister in charge the ability to withdraw or suspend draft allocation plans, and changing the timeframes for the surrender of units in relation to pre-1990 forest land activities.<br>&nbsp;<br> The Climate Change Response (Emissions Trading) Amendment Act 2008 amended the Climate Change Response Act 2002 to introduce a GHG emissions trading scheme in New Zealand (known as the NZ ETS). The Department of Inland Revenue specifies how the Climate Change Response Act amends the Income Tax Act 2004, the Income Tax Act 2007, and the Goods and Services Tax Act 1985 (GST Act) to cover the income tax consequences to the forestry sector and the GST consequences to all sectors of transactions in emissions units.<br>&nbsp;<br> The Climate Change Response Amendment Act 2006 made numerous small changes to the 2002 Climate Change Response Act such as identifying an expiry period for both temporary and long-term certified emission reduction units, allowing the Governor General to make regulations establishing forest sink covenants, and adding principles of cost recovery such as via levies or fees.<br><br></div>","","","New Zealand","NZL","Waste;Transportation;LULUCF;Economy-wide;Agriculture","Mitigation","Adaptation;Mitigation","Institutions / Administrative Arrangements;Carbon Pricing;Redd+ And Lulucf","","Law","Standards and obligations|Regulation;Taxes|Incentives;Monitoring and evaluation|Governance and planning;Developing plans and strategies|Governance and planning;Designing processes|Governance and planning;Creating bodies and institutions|Governance and planning;Capacity-building - general|Capacity-building","","7545;7155;7308","published"
"10421","Decree 4.586 creating the National Committee of Green Climate Fund and related decree no 4.585","https://climate-laws.org/geographies/venezuela/policies/decree-4-586-creating-the-national-committee-of-green-climate-fund-and-related-decree-no-4-585","executive","<div>The decree 4.586, published in the official gazette 42.217, creates the National Committee of Green Climate Fund. The Committee is a presidential commission and advisory body to the President on a permanent basis. The decree further details the Committee's composition and attributions. The decree 4.586 also appears in Official Gazette 42.246.<br><br>Decree No. 4,585 appoints the Minister of People's Power for Ecosocialism as the National Authority designated before the Green Climate Fund.</div>","","","Venezuela","VEN","Public Sector;Finance","","Adaptation;Mitigation","","","Decree"," Creating bodies and institutions|Governance and planning;  Capacity-building - general|Capacity-building","","","published"
"10423","President's Expanded Priority Program (PROPEP 2020-2023)","https://climate-laws.org/geographies/mauritania/policies/president-s-expanded-priority-program-propep-2020-2023","executive","<div>This document introduces a stimulus programme to combat the adverse effects of the COVID-19-induced economic crisis. It seeks to 1) intensify public investment, particularly in priority productive sectors with a view to accelerating the achievement of food self-sufficiency and in green sectors; 2)&nbsp; establish a Strategic Investment Fund; 3) initiate the formalisation of the economy; 4) simplify administrative procedures; 5) improve the business environment; and 6) lay the institutional foundations for strong and effective governance to support the private sector.<br><br>The program notably allocates funds towards reforestation and sustainable forest management efforts, and the creation of green jobs. It aims to restore and ensure sustainable management of forest areas and degraded lands with a view to improving the livelihoods of local populations. It also contributes to better pollution management and the promotion of waste recovery channels capable of creating sustainable jobs, especially for young people. The envelope devoted to this axis represents an amount of MRU 961.9 million, or 4% of the overall funding.<br><br>From this specific envelope, 350 million MRU will go toward the national reforestation program, including schools and public spaces. Further details on the allocation of this envelope are as follows:<br>- Reinforcement of the national initiative of the great green wall for an envelope of 250 million MRU, or 26% of the financing of axis, allowing the realization of multipurpose gardens or Integrated Community Agricultural Farms,<br>- Reduce pollution and improve the management and recovery of urban solid waste. for an overall envelope of MRU 361.9 million, i.e. 37.6% of the funding for the axis. This envelope will be intended for the ongoing program to clean up 33 municipalities in the interior of the country and its renewal for an additional year, as well as the development and introduction of a mercury-free extraction process for artisanal gold.</div>","","","Mauritania","MRT","Waste;LULUCF;Economy-wide","","Adaptation;Mitigation","Reforestation;covid19;Carbon Sink;Jobs","","Programme"," Creating bodies and institutions|Governance and planning;Ecosystem restoration and nature based solutions|Direct investment; Provision of climate finance|Direct investment;  Capacity-building - general|Capacity-building","","","published"
"10427","National Strategy and Plan for Adaptation to Climate Change in the Agricultural Sector (SPN2A 2020-2035)","https://climate-laws.org/geographies/niger/policies/national-strategy-and-plan-for-adaptation-to-climate-change-in-the-agricultural-sector-spn2a-2020-2035","executive","<div>The strategy aims to enhance planning capabilities and subsequent implementation in the country's agricultural sector. It guides the operationalisation of priority actions to improve resilience.&nbsp;The National Strategy for Adaptation of the Agricultural Sector to Climate Change corresponds to the sectoral version of the National Adaptation Plan (NAP). The strategy seeks to attract funds from international climate financing schemes.</div>","","","Niger","NER","Social development;Agriculture","","Adaptation;Mitigation","carbon sink","","Plan;Strategy"," International cooperation|Governance and planning; Developing plans and strategies|Governance and planning; Provision of climate finance|Direct investment; Ecosystem restoration and nature based solutions|Direct investment;  Capacity-building - general|Capacity-building","","","published"
"10428","National Strategy and Plan of Action for Climate Variability (SNPA-CVC)","https://climate-laws.org/geographies/niger/policies/national-strategy-and-plan-of-action-for-climate-variability-snpa-cvc","executive","<div>This document has been identified in Niger's updated NDC and other official documents, however no further documentation is available.</div>","","","Niger","NER","Economy-wide","","Adaptation;Disaster Risk Management","","","Strategy"," Developing plans and strategies|Governance and planning","","","published"
"10431","Policy, Strategy and Action Plan in the fight against Climate Change (PSPA-CC)","https://climate-laws.org/geographies/democratic-republic-of-congo/policies/policy-strategy-and-action-plan-in-the-fight-against-climate-change-pspa-cc","executive","<div>This document has been identified in DRC's updated NDC, however no further documentation is available.</div>","","","Democratic Republic of Congo","COD","Economy-wide","","Adaptation;Mitigation","","","Policy"," Developing plans and strategies|Governance and planning","","","published"
