Id,Title,Description,Geography ISO,Documents,Category,Events,Sectors,Instruments,Frameworks,Responses,Natural Hazards,Document Type,Year,Language,Keywords,Geography,Parent Legislation
1332.0,Presidential of the Republic of Indonesia Instruction Number 6 Year 2013 on Suspension of New Licenses and Improving Forest Governance of Primary Forest and Peatland,"The first iteration of this instruction was issued in 2011 in order to implement commitments under the agreements in the Letter of Intent signed with the Kingdom of Norway in May 2011. The Instruction is intended to facilitate Indonesia's participation in internationally financed REDD activities and places a moratorium on clearance of primary peatland and forests within moratorium areas. The initial moratorium was extended by Presidential Instruction 6/2013. In 2019, President Joko Widodo signed Presidential Instruction 5/2019, making the moratorium on the clearance of primary forest and peatlands in moratorium areas permanent. ",IDN,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaUVHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--2edc173ca6e688a1d121c90f6282721aca9b0ca7/f|id,executive,25/12/2011|Presidential instruction issued||;25/12/2013|Moratorium extended||;07/08/2019|Moratorium extended||,LULUCF;Residential and Commercial,"Processes, plans and strategies|Governance",,Adaptation;Mitigation,,Decree,2013,Indonesian,Redd+ And Lulucf;Forest;Moratorium,,
1332.0,Presidential of the Republic of Indonesia Instruction Number 6 Year 2013 on Suspension of New Licenses and Improving Forest Governance of Primary Forest and Peatland,"The first iteration of this instruction was issued in 2011 in order to implement commitments under the agreements in the Letter of Intent signed with the Kingdom of Norway in May 2011. The Instruction is intended to facilitate Indonesia's participation in internationally financed REDD activities and places a moratorium on clearance of primary peatland and forests within moratorium areas. The initial moratorium was extended by Presidential Instruction 6/2013. In 2019, President Joko Widodo signed Presidential Instruction 5/2019, making the moratorium on the clearance of primary forest and peatlands in moratorium areas permanent. ",IDN,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaUlHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8c435aa888628a4bbbef25307cab8c50b5be954a/f|en,executive,25/12/2011|Presidential instruction issued||;25/12/2013|Moratorium extended||;07/08/2019|Moratorium extended||,LULUCF;Residential and Commercial,"Processes, plans and strategies|Governance",,Adaptation;Mitigation,,Decree,2013,English,Redd+ And Lulucf;Forest;Moratorium,,
1332.0,Presidential Instruction of the Republic of Indonesia Number 5 of 2019 concerning the termination of the granting of new permits and improvement of primary natural forest governance and peatlands,"The first iteration of this instruction was issued in 2011 in order to implement commitments under the agreements in the Letter of Intent signed with the Kingdom of Norway in May 2011. The Instruction is intended to facilitate Indonesia's participation in internationally financed REDD activities and places a moratorium on clearance of primary peatland and forests within moratorium areas. The initial moratorium was extended by Presidential Instruction 6/2013. In 2019, President Joko Widodo signed Presidential Instruction 5/2019, making the moratorium on the clearance of primary forest and peatlands in moratorium areas permanent. ",IDN,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaDhPIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--b416447775144e2484a1d7f04e95f21ec6de92bb/Indonesia%20InPres%205-2019.pdf|id,executive,25/12/2011|Presidential instruction issued||;25/12/2013|Moratorium extended||;07/08/2019|Moratorium extended||,LULUCF;Residential and Commercial,"Processes, plans and strategies|Governance",,Adaptation;Mitigation,,Decree,2019,Indonesian,Redd+ And Lulucf;Forest;Moratorium,,
8234.0,Regulation of the Minister of Energy and Mineral Resources of the Republic of Indonesia Number 12 of 2017 concerning Utilization of Renewable Energy Sources for Electric Power Provision,"Regulation 12 sets the tariffs for solar, wind, hydro, biomass, biogas, city waste to energy, and geothermal power plants. It stipulates that a renewable tariff is capped at 85% of the electricity supply costs (BPP) for the region in question, and 100% of BPP for geothermal and city waste to energy plants, provided the regional BPP is higher than the national average. If the regional BPP is lower than the national average, then the tariff is capped at 100% of the BPP, unless otherwise agreed in the case of geothermal and city waste to energy plants. The purpose of this rule is to reduce the average BPP (i.e., the cost of generation) across Indonesia. Regulation 50/2017 formally replaced Regulation 12.Regulation MEMR 4/2020 amends regulation 50/2017 in order to make renewable energy sources more competitive, and thus increase their rate of inclusion into the national energy mix.Presidential Regulation Number 35/2018 aims to accelerate the construction of thermal generation facilities for converting waste into electricity energy ""with environmental sound technology"".",IDN,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcVlKIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f78211846fbe5abf1f736bcd4c5d442504b678c7/f|,executive,30/01/2017|Regulation 12/2017 issued||;25/12/2017|Regulation issued||;28/02/2020|Amended||,Energy;Waste,Subsidies|Economic,,Mitigation,,Regulation,2017,Indonesian,Energy Supply;Fit,,
8234.0,Regulation of the Minister of Energy and Mineral Resources of the Republic of Indonesia Number 12 of 2017 concerning Utilization of Renewable Energy Sources for Electric Power Provision,"Regulation 12 sets the tariffs for solar, wind, hydro, biomass, biogas, city waste to energy, and geothermal power plants. It stipulates that a renewable tariff is capped at 85% of the electricity supply costs (BPP) for the region in question, and 100% of BPP for geothermal and city waste to energy plants, provided the regional BPP is higher than the national average. If the regional BPP is lower than the national average, then the tariff is capped at 100% of the BPP, unless otherwise agreed in the case of geothermal and city waste to energy plants. The purpose of this rule is to reduce the average BPP (i.e., the cost of generation) across Indonesia. Regulation 50/2017 formally replaced Regulation 12.Regulation MEMR 4/2020 amends regulation 50/2017 in order to make renewable energy sources more competitive, and thus increase their rate of inclusion into the national energy mix.Presidential Regulation Number 35/2018 aims to accelerate the construction of thermal generation facilities for converting waste into electricity energy ""with environmental sound technology"".",IDN,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcDBNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--02da595824a5e8cab34c045dfacb2fd61694f2e6/2017%20MOEMR%2012%20of%202017_Renewable%20Energy%20Sources%20for%20Electricity%20Supply.pdf|id,executive,30/01/2017|Regulation 12/2017 issued||;25/12/2017|Regulation issued||;28/02/2020|Amended||,Energy;Waste,Subsidies|Economic,,Mitigation,,Regulation,2017,Indonesian,Energy Supply;Fit,,
9582.0,"Law of the Republic of Indonesia Number 31 of 2009 concerning Meteorology, Climatology, and Geophysics","The law on Meteorology, Climatology and Geophysics establishes the framework of the organisation of meteorology, climatology and geophysics to protect national interests in order to increase security and resilience to climate change. ",IDN,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcGdNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--22b9b9cd9b24af29b845def0155eb89abca719c4/2009%20UU%20No.%2031%20of%202009%20Meterology%20Climatology%20and%20Geophysics.pdf|id,legislative,01/01/2009|Passed||,Environment;Other,"Standards, obligations and norms|Regulation;Capacity building|Governance;Processes, plans and strategies|Governance;Education, training and knowledge dissemination|Information",,Adaptation,,Law,2009,Indonesian,,,
9582.0,"Act 31 of 2009 About Meteorology, Climatology, and Geophysics","The law on Meteorology, Climatology and Geophysics establishes the framework of the organisation of meteorology, climatology and geophysics to protect national interests in order to increase security and resilience to climate change. ",IDN,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcGtNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--01b23da345beb2a7d2d8e65f98fb59e167a1d6da/2009%20Act%2031%20of%202009_Meterology%20and%20Climate%20Law.docx|en,legislative,01/01/2009|Passed||,Environment;Other,"Standards, obligations and norms|Regulation;Capacity building|Governance;Processes, plans and strategies|Governance;Education, training and knowledge dissemination|Information",,Adaptation,,Act,2009,English,,,
9589.0,Government Regulation of the Republic of Indonesia Number 79 of 2014 on National Energy Policy,"The regulation No.79 on National Energy Policy establishes the policy on Energy Management based on principles of fairness, sustainability and environmental sound aimed to create Energy Independance and national Energy Security. The regulation sets the following policy goals : 1) availability of Energy to meet the national demand; 2) priority of Energy development; 3) utilization of national Energy Resources; 4) national Energy Reserves. The regulation also establishes the following supporting policies : 1) Energy Conservation; 2) Environment and safety; 3) pricing, subsidy and energy incentives; 4) infrastructure and access of people to Energy and Energy Industry; 5) research and development. ",IDN,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcUFNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--915154b97b127e2e63d6ffae0386002015da9166/2014%20PP%20No%2079%20of%202014%20National%20Energy%20Policy_EN.pdf|en,executive,01/01/2014|Approved||,Energy;Transportation,"Subsidies|Economic;Capacity building|Governance;Research & Development, knowledge generation|Information",,Mitigation,,Regulation,2014,English,Industry;Renewables;Transport;Subsidies;Agriculture;Energy,,
9589.0,Government Regulation of the Republic of Indonesia Number 79 of 2014 concerning National Energy Policy,"The regulation No.79 on National Energy Policy establishes the policy on Energy Management based on principles of fairness, sustainability and environmental sound aimed to create Energy Independance and national Energy Security. The regulation sets the following policy goals : 1) availability of Energy to meet the national demand; 2) priority of Energy development; 3) utilization of national Energy Resources; 4) national Energy Reserves. The regulation also establishes the following supporting policies : 1) Energy Conservation; 2) Environment and safety; 3) pricing, subsidy and energy incentives; 4) infrastructure and access of people to Energy and Energy Industry; 5) research and development. ",IDN,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcUVNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--50957a9fe0c1d2302c65581e3f8c77e8024daa9b/2014%20PP%20No%2079%20of%202014%20National%20Energy%20Policy.pdf|id,executive,01/01/2014|Approved||,Energy;Transportation,"Subsidies|Economic;Capacity building|Governance;Research & Development, knowledge generation|Information",,Mitigation,,Regulation,2014,Indonesian,Industry;Renewables;Transport;Subsidies;Agriculture;Energy,,
9593.0,Regulation of the Minister of Forestry of the Republic of Indonesia Number: P. 36/Menhut-II/2009 concerning Procedures for Licensing Business Utilization of Absorption and/or Storage of Carbon in Production Forests and Protection Forests,"The regulation No.11 of 2013 amends the regulation No.36 of 2009 concerning the business licensing for the utilisation of Carbon Absorption and/or Storage of Carbon in Production Forests and Protected Forests. The regulation No.11 amends the  Article 15 paragraph 2 : 'based on the results of the verification as referred to in Article 14, the Project Developer registers to the National Registration Agency or those in the international Voluntary Carbon Market (VCM) to obtain a Verified Emision Reduction (VER) certificate. In the event that the National Registration Body has not been established, the registration as intended in paragraph 1 shall be carried out by the Secretary General after obtaining technical considerations from the relevant Directorate General.The VER Certificate as referred to in paragraph 1can be sold directly between the Project Developer and the buyer or through the domestic carbon stock market or the international market based on the approval of the Minister'. ",IDN,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcVVNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--599940d02177643b716d92efed4cac712c803d26/2009%20MOF%20Reg%2036%20of%202009%20Permitting%20for%20Using%20Carbon%20Sinks%20and%20Reservoirs%20in%20Forests.pdf|id,executive,01/01/2009|Approved||;01/01/2013|Approved||,LULUCF,"Standards, obligations and norms|Regulation;Nature based solutions and ecosystem restoration|Direct Investment;Processes, plans and strategies|Governance",,Adaptation;Mitigation,,Regulation,2009,Indonesian,Forest;Carbon Sink,,
