Id,Title,Geography ISO,Documents,Category,Events,Sectors,Instruments,Frameworks,Responses,Natural Hazards,Document Type,Year,Language,Keywords
1332,Presidential of the Republic of Indonesia Instruction Number 6 Year 2013 on Suspension of New Licenses and Improving Forest Governance of Primary Forest and Peatland,IDN,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaUVHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--2edc173ca6e688a1d121c90f6282721aca9b0ca7/f|id,executive,25/12/2011|Presidential instruction issued||;25/12/2013|Moratorium extended||;07/08/2019|Moratorium extended||,LULUCF;Residential and Commercial,"Processes, plans and strategies|Governance",,Adaptation;Mitigation,,,2013,Indonesian,Redd+ And Lulucf;Forest;Moratorium
1332,Presidential of the Republic of Indonesia Instruction Number 6 Year 2013 on Suspension of New Licenses and Improving Forest Governance of Primary Forest and Peatland,IDN,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaUlHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8c435aa888628a4bbbef25307cab8c50b5be954a/f|en,executive,25/12/2011|Presidential instruction issued||;25/12/2013|Moratorium extended||;07/08/2019|Moratorium extended||,LULUCF;Residential and Commercial,"Processes, plans and strategies|Governance",,Adaptation;Mitigation,,,2013,English,Redd+ And Lulucf;Forest;Moratorium
1332,Presidential Instruction of the Republic of Indonesia Number 5 of 2019 concerning the termination of the granting of new permits and improvement of primary natural forest governance and peatlands,IDN,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaDhPIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--b416447775144e2484a1d7f04e95f21ec6de92bb/Indonesia%20InPres%205-2019.pdf|id,executive,25/12/2011|Presidential instruction issued||;25/12/2013|Moratorium extended||;07/08/2019|Moratorium extended||,LULUCF;Residential and Commercial,"Processes, plans and strategies|Governance",,Adaptation;Mitigation,,,2019,Indonesian,Redd+ And Lulucf;Forest;Moratorium
8234,Regulation of the Minister of Energy and Mineral Resources of the Republic of Indonesia Number 12 of 2017 concerning Utilization of Renewable Energy Sources for Electric Power Provision,IDN,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcVlKIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f78211846fbe5abf1f736bcd4c5d442504b678c7/f|,executive,30/01/2017|Regulation 12/2017 issued||;25/12/2017|Regulation issued||;28/02/2020|Amended||,Energy;Waste,Subsidies|Economic,,Mitigation,,Regulation,2017,Indonesian,Energy Supply;Fit
8234,Regulation of the Minister of Energy and Mineral Resources of the Republic of Indonesia Number 12 of 2017 concerning Utilization of Renewable Energy Sources for Electric Power Provision,IDN,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcDBNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--02da595824a5e8cab34c045dfacb2fd61694f2e6/2017%20MOEMR%2012%20of%202017_Renewable%20Energy%20Sources%20for%20Electricity%20Supply.pdf|id,executive,30/01/2017|Regulation 12/2017 issued||;25/12/2017|Regulation issued||;28/02/2020|Amended||,Energy;Waste,Subsidies|Economic,,Mitigation,,Regulation,2017,Indonesian,Energy Supply;Fit
9582,"Law of the Republic of Indonesia Number 31 of 2009 concerning Meteorology, Climatology, and Geophysics",IDN,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcGdNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--22b9b9cd9b24af29b845def0155eb89abca719c4/2009%20UU%20No.%2031%20of%202009%20Meterology%20Climatology%20and%20Geophysics.pdf|id,legislative,01/01/2009|Passed||,Environment;Other,"Standards, obligations and norms|Regulation;Capacity building|Governance;Processes, plans and strategies|Governance;Education, training and knowledge dissemination|Information",,Adaptation,,Law,2009,Indonesian,
9582,"Act 31 of 2009 About Meteorology, Climatology, and Geophysics",IDN,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcGtNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--01b23da345beb2a7d2d8e65f98fb59e167a1d6da/2009%20Act%2031%20of%202009_Meterology%20and%20Climate%20Law.docx|en,legislative,01/01/2009|Passed||,Environment;Other,"Standards, obligations and norms|Regulation;Capacity building|Governance;Processes, plans and strategies|Governance;Education, training and knowledge dissemination|Information",,Adaptation,,Act,2009,English,
9589,Government Regulation of the Republic of Indonesia Number 79 of 2014 on National Energy Policy,IDN,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcUFNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--915154b97b127e2e63d6ffae0386002015da9166/2014%20PP%20No%2079%20of%202014%20National%20Energy%20Policy_EN.pdf|en,executive,01/01/2014|Approved||,Energy;Transportation,"Subsidies|Economic;Capacity building|Governance;Research & Development, knowledge generation|Information",,Mitigation,,Regulation,2014,English,Industry;Renewables;Transport;Subsidies;Agriculture;Energy
9589,Government Regulation of the Republic of Indonesia Number 79 of 2014 concerning National Energy Policy,IDN,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcUVNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--50957a9fe0c1d2302c65581e3f8c77e8024daa9b/2014%20PP%20No%2079%20of%202014%20National%20Energy%20Policy.pdf|id,executive,01/01/2014|Approved||,Energy;Transportation,"Subsidies|Economic;Capacity building|Governance;Research & Development, knowledge generation|Information",,Mitigation,,Regulation,2014,Indonesian,Industry;Renewables;Transport;Subsidies;Agriculture;Energy
9593,Regulation of the Minister of Forestry of the Republic of Indonesia Number: P. 36/Menhut-II/2009 concerning Procedures for Licensing Business Utilization of Absorption and/or Storage of Carbon in Production Forests and Protection Forests,IDN,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcVVNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--599940d02177643b716d92efed4cac712c803d26/2009%20MOF%20Reg%2036%20of%202009%20Permitting%20for%20Using%20Carbon%20Sinks%20and%20Reservoirs%20in%20Forests.pdf|id,executive,01/01/2009|Approved||;01/01/2013|Approved||,LULUCF,"Standards, obligations and norms|Regulation;Nature based solutions and ecosystem restoration|Direct Investment;Processes, plans and strategies|Governance",,Adaptation;Mitigation,,Regulation,2009,Indonesian,Forest;Carbon Sink
9593,Regulation of the Minister of Forestry of the Republic of Indonesia Number: P.11/Menhut-II/2013 concerning Amendments to the Regulation of the Minister of Forestry Number P.36/Menhut-II/2009 concerning Procedures for Licensing Business Utilization of Absorption and/or Storage of Carbon in Production Forests and Protection Forests,IDN,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcVlNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--11c816f5112de05403904b8a66e47b7e6398bd0a/2013%20MOF%20Reg%2011%20of%202013_Amending%2036%20Menhut%20II%20of%202009%20on%20Procedures%20for%20Licensing%20Activities%20for%20Absorbing%20and%20Restoring%20Carbon%20in%20Forests.pdf|id,executive,01/01/2009|Approved||;01/01/2013|Approved||,LULUCF,"Standards, obligations and norms|Regulation;Nature based solutions and ecosystem restoration|Direct Investment;Processes, plans and strategies|Governance",,Adaptation;Mitigation,,Regulation,2013,Indonesian,Forest;Carbon Sink
10108,Government Regulation of the Republic of Indonesia Number 57 of 2016 concerning Amendments to Government Regulation Number 71 of 2014 concerning Protection and Management of Peat Ecosystems,IDN,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaUFPIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--22b157433d8ed537b49102923fd06d7962c8af6b/PP_NO_57_2016.pdf|id,executive,05/12/2016|Law passed||,LULUCF,"Standards, obligations and norms|Regulation",,Adaptation;Mitigation,,Regulation,2016,Indonesian,Peat;Land Use
10108,Government Regulation of the Republic of Indonesia No MOR 71 of 2014 concerning Protection and Management of Peat Ecosystems,IDN,http://extwprlegs1.fao.org/docs/pdf/ins174375.pdf|,executive,05/12/2016|Law passed||,LULUCF,"Standards, obligations and norms|Regulation",,Adaptation;Mitigation,,Regulation,2014,Indonesian,Peat;Land Use
1361,"Finance Act, 1992",IRL,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcmdKIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f1ce557eda2800a1938586774476d0d66fa62738/f|,legislative,01/01/2013|Law passed,Transportation,Tax incentives|Economic,,Mitigation,,Act,1992,English,Energy Demand;Transportation
1361,Finance Act 2013,IRL,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcmtKIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--585ddf140054ff02b151a2d1926d42f681c63926/f|,legislative,01/01/2013|Law passed,Transportation,Tax incentives|Economic,,Mitigation,,Act,2013,English,Energy Demand;Transportation
1369,"Motor Vehicles (Duties and Licences) Act, 2001",IRL,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcThKIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9485b8d424b12937a352f5e578fe495b2d6677c5/f|,legislative,03/07/2001|Law passed||;25/12/2013|Last amendment||,Transportation,"Processes, plans and strategies|Governance",,Mitigation,,Act,2001,English,Energy Demand;Transportation
1369,Motor Vehicles (Duties and Licences) Act 2013,IRL,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBckFKIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--80abb78ec26543cc701d9b3fa937ebac2ae01102/f|,legislative,03/07/2001|Law passed||;25/12/2013|Last amendment||,Transportation,"Processes, plans and strategies|Governance",,Mitigation,,Act,2013,English,Energy Demand;Transportation
2024,Climate Action and Low Carbon Development Act 2015,IRL,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbklJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f3e6a5e3d4af92a4808ca26dc589af91a7035913/f|en,legislative,10/12/2015|Law passed||;23/07/2021|Amendment approved||,Economy-wide;Transportation,"Processes, plans and strategies|Governance;MRV|Governance",Adaptation;Mitigation,Adaptation;Mitigation,,Act,2015,English,Adaptation;Institutions / Administrative Arrangements;Just Transition;Ban;Fossil Fuels Curbing Measures;Climate Justice
2024,Climate Action and Low Carbon Development (Amendment) Bill 2021,IRL,https://data.oireachtas.ie/ie/oireachtas/bill/2021/39/eng/ver_b/b39b21d.pdf|en,legislative,10/12/2015|Law passed||;23/07/2021|Amendment approved||,Economy-wide;Transportation,"Processes, plans and strategies|Governance;MRV|Governance",Adaptation;Mitigation,Adaptation;Mitigation,,Bill,2021,English,Adaptation;Institutions / Administrative Arrangements;Just Transition;Ban;Fossil Fuels Curbing Measures;Climate Justice
2024,Government approves landmark Climate Bill putting Ireland on the path to net-zero emissions by 2050,IRL,https://www.gov.ie/en/press-release/22e97-government-approves-landmark-climate-bill-putting-ireland-on-the-path-to-net-zero-emissions-by-2050/|en,legislative,10/12/2015|Law passed||;23/07/2021|Amendment approved||,Economy-wide;Transportation,"Processes, plans and strategies|Governance;MRV|Governance",Adaptation;Mitigation,Adaptation;Mitigation,,Press release,2021,English,Adaptation;Institutions / Administrative Arrangements;Just Transition;Ban;Fossil Fuels Curbing Measures;Climate Justice
